20220803_093127 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	BoxTop	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3742356688.988	30.000	30.000	27.541	29.937	29.538	30.089	30.430	30.067	29.658	29.937	30.063	27.096	25.302	3.63516
3742356691.001	30.000	30.000	27.539	29.933	29.539	30.085	30.448	30.074	29.655	29.957	30.131	27.086	25.291	3.63517
3742356693.013	30.000	30.000	27.537	29.933	29.541	30.385	30.797	30.453	29.655	30.448	30.732	27.084	25.298	3.63516
3742356694.989	30.000	30.000	27.536	29.930	29.534	31.020	31.461	31.202	29.651	31.401	31.709	27.076	25.296	3.63514
3742356696.958	30.000	30.000	27.538	29.935	29.519	31.779	32.234	32.080	29.652	32.453	32.723	27.071	25.343	3.63511
3742356698.945	32.000	31.000	27.540	29.947	29.487	32.639	33.093	33.051	29.657	33.563	33.769	27.069	25.309	3.63507
3742356700.950	32.000	31.000	27.539	29.960	29.434	33.503	33.955	34.014	29.663	34.617	34.755	27.069	25.309	3.63502
3742356702.984	34.000	32.000	27.538	29.977	29.365	34.359	34.798	34.956	29.669	35.618	35.680	27.069	25.289	3.63497
3742356704.997	34.000	32.000	27.536	29.996	29.287	35.200	35.618	35.870	29.678	36.564	36.551	27.065	25.324	3.63491
3742356706.972	35.000	34.000	27.541	30.027	29.216	36.000	36.393	36.729	29.693	37.441	37.359	27.066	25.358	3.63485
3742356708.948	35.000	34.000	27.539	30.056	29.134	36.788	37.153	37.574	29.705	38.295	38.141	27.068	25.365	3.63479
3742356710.960	37.000	35.000	27.539	30.090	29.072	37.595	37.911	38.380	29.723	39.107	38.885	27.080	25.363	3.63473
3742356712.997	37.000	36.000	27.541	30.131	28.984	38.284	38.583	39.153	29.746	39.881	39.594	27.122	25.278	3.63465
3742356714.954	39.000	36.000	27.538	30.174	28.909	39.007	39.269	39.909	29.768	40.640	40.287	27.144	25.214	3.63459
3742356716.987	40.000	38.000	27.538	30.223	28.843	39.693	39.916	40.626	29.796	41.359	40.939	27.137	25.280	3.63453
3742356718.969	40.000	38.000	27.540	30.277	28.782	40.368	40.549	41.326	29.827	42.056	41.572	27.118	25.311	3.63446
3742356720.949	41.000	39.000	27.539	30.336	28.725	41.021	41.161	41.998	29.859	42.729	42.184	27.119	25.303	3.63439
3742356722.993	41.000	39.000	27.536	30.393	28.672	41.656	41.757	42.652	29.891	43.381	42.781	27.112	25.290	3.63433
3742356725.004	42.000	40.000	27.536	30.461	28.622	42.289	42.347	43.302	29.931	44.033	43.368	27.107	25.360	3.63427
3742356726.986	42.000	40.000	27.537	30.529	28.576	42.874	42.889	43.898	29.971	44.628	43.911	27.119	25.392	3.63420
3742356728.966	44.000	41.000	27.541	30.603	28.536	43.458	43.431	44.492	30.017	45.222	44.453	27.123	25.375	3.63413
3742356730.955	44.000	41.000	27.538	30.679	28.497	44.025	43.961	45.071	30.065	45.804	44.983	27.114	25.336	3.63406
3742356732.993	45.000	42.000	27.540	30.760	28.461	44.586	44.482	45.640	30.116	46.372	45.501	27.100	25.347	3.63400
3742356734.995	45.000	43.000	27.536	30.857	28.440	45.177	45.019	46.193	30.166	46.926	46.002	27.086	25.352	3.63394
3742356736.962	46.000	43.000	27.540	30.930	28.398	45.653	45.471	46.718	30.222	47.454	46.486	27.074	25.349	3.63387
3742356739.003	47.000	44.000	27.541	31.034	28.389	46.213	45.947	47.239	30.280	47.974	46.963	27.074	25.343	3.63381
3742356740.961	47.000	44.000	27.540	31.109	28.366	46.710	46.443	47.740	30.338	48.476	47.424	27.092	25.399	3.63375
3742356742.983	48.000	45.000	27.537	31.206	28.327	47.154	46.867	48.234	30.399	48.968	47.875	27.093	25.422	3.63369
3742356745.018	48.000	45.000	27.536	31.303	28.307	47.638	47.322	48.769	30.495	49.457	48.328	27.085	25.402	3.63362
3742356746.966	48.000	46.000	27.538	31.402	28.293	48.080	47.749	49.207	30.559	49.891	48.753	27.068	25.414	3.63356
3742356749.016	48.000	46.000	27.539	31.508	28.279	48.421	48.178	49.477	30.595	50.169	49.180	27.089	25.489	3.63350
3742356750.960	49.000	46.000	27.540	31.615	28.267	48.607	48.597	49.614	30.668	50.227	49.597	27.058	25.463	3.63344
3742356752.984	49.000	47.000	27.539	31.736	28.269	48.711	49.038	49.656	30.772	50.127	50.007	27.115	25.417	3.63340
