0,30
300,40
900,20
1200,30
1500,50
1800,40
2100,30
2400,20
2700,10
3000,30
3300,20
3900,40
4200,30
4500,10
4800,30
5100,40
5700,30
6000,20
7200,30
7500,20
8100,40
8400,30
8700,10
9000,20
9300,30
9600,40
9900,50
10200,30
10500,40
11100,20
11400,30
11700,50
12000,30
12300,20
12900,30
13200,40
14400,30
14700,40
15300,20
15600,30
15900,50
16200,40
16500,30
16800,20
17100,10
17400,30
17700,20
18300,40
18600,30
18900,10
19200,30
19500,40
20100,30
20400,20
21600,30
21900,20
22500,40
22800,30
23100,10
23400,20
23700,30
24000,40
24300,50
24600,30
24900,40
25500,20
25800,30
26100,50
26400,30
26700,20
27300,30
27600,40
28800,30
29100,40
29700,20
30000,30
30300,50
30600,40
30900,30
31200,20
31500,10
31800,30
32100,20
32700,40
33000,30
33300,10
33600,30
33900,40
34500,30
34800,20
36000,30
36300,20
36900,40
37200,30
37500,10
37800,20
38100,30
38400,40
38700,50
39000,30
39300,40
39900,20
40200,30
40500,50
40800,30
41100,20
41700,30
42000,40
43198,40
