20230802_162812 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	CoolingBlockBottom	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3773831294.780	9.000	10.000	25.460	13.966	10.057	10.187	10.098	10.384	15.419	9.879	9.668	25.366	23.868	3.78809
3773831296.755	9.000	10.000	25.460	13.967	10.061	10.199	10.101	10.392	15.422	9.895	9.673	25.367	23.871	3.78809
3773831298.804	9.000	10.000	25.458	13.964	10.059	10.201	10.102	10.346	15.387	9.900	9.673	25.365	23.924	3.78809
3773831300.819	9.000	10.000	25.456	13.964	10.060	10.198	10.098	10.394	15.417	9.894	9.668	25.363	23.907	3.78809
3773831302.798	9.000	10.000	25.456	13.966	10.055	10.191	10.093	10.389	15.418	9.883	9.660	25.365	23.944	3.78809
3773831304.785	9.000	10.000	25.458	13.967	10.053	10.186	10.091	10.386	15.420	9.875	9.658	25.365	24.094	3.78809
3773831306.784	9.000	10.000	25.456	13.967	10.050	10.183	10.088	10.383	15.419	9.873	9.652	25.362	24.241	3.78809
3773831308.822	9.000	10.000	25.457	13.962	10.045	10.182	10.083	10.381	15.415	9.877	9.651	25.364	24.198	3.78810
3773831310.831	9.000	10.000	25.459	13.964	10.062	10.245	10.134	10.407	15.417	9.973	9.757	25.361	23.883	3.78810
3773831312.787	9.000	10.000	25.437	13.962	10.373	10.692	10.659	10.643	15.414	10.635	10.577	25.339	23.771	3.78807
3773831314.814	9.000	10.000	25.345	13.967	11.086	11.507	11.643	11.168	15.418	11.799	11.918	25.256	23.779	3.78802
3773831316.779	9.000	10.000	25.201	13.967	12.017	12.494	12.842	11.835	15.388	13.134	13.387	25.172	23.901	3.78792
3773831318.814	12.000	11.000	25.060	13.960	13.034	13.510	14.084	12.709	15.425	14.488	14.843	25.045	23.824	3.78780
3773831320.814	12.000	11.000	24.940	13.987	14.120	14.635	15.398	13.586	15.432	15.793	16.231	24.958	23.862	3.78766
3773831322.779	12.000	11.000	24.848	13.984	15.135	15.614	16.576	14.450	15.441	16.985	17.497	24.868	23.843	3.78750
3773831324.837	12.000	11.000	24.779	14.020	16.186	16.688	17.806	15.338	15.454	18.143	18.718	24.793	23.890	3.78733
3773831326.786	12.000	11.000	24.729	14.048	17.197	17.683	18.957	16.170	15.441	19.238	19.870	24.734	23.875	3.78715
3773831328.809	12.000	11.000	24.690	14.081	18.189	18.613	20.045	17.049	15.463	20.298	20.981	24.673	24.000	3.78695
3773831330.818	12.000	11.000	24.661	14.118	19.160	19.610	21.156	17.963	15.517	21.312	22.046	24.652	24.084	3.78675
3773831332.792	12.000	11.000	24.646	14.169	20.082	20.512	22.170	18.800	15.552	22.269	23.045	24.628	24.055	3.78656
3773831334.834	12.000	11.000	24.631	14.218	20.984	21.394	23.151	19.623	15.580	23.193	24.005	24.605	24.029	3.78636
3773831336.785	12.000	11.000	24.618	14.274	21.861	22.251	24.100	20.433	15.621	24.088	24.935	24.592	23.933	3.78616
3773831338.802	12.000	11.000	24.614	14.339	22.725	23.095	25.028	21.241	15.661	24.963	25.844	24.585	23.800	3.78596
3773831340.810	24.000	23.000	24.610	14.409	23.564	23.914	25.923	22.034	15.707	25.811	26.723	24.578	23.685	3.78576
3773831342.815	24.000	23.000	24.603	14.482	24.376	24.707	26.783	22.803	15.753	26.626	27.567	24.572	23.632	3.78556
3773831344.837	24.000	23.000	24.605	14.564	25.174	25.483	27.621	23.563	15.806	27.420	28.390	24.571	23.648	3.78535
