20230823_165456 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	CoolingBlockBottom	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3775647298.955	24.000	25.000	25.431	25.352	25.075	24.992	25.386	25.023	25.595	24.870	25.032	25.585	28.154	3.20865
3775647300.946	24.000	25.000	25.426	25.349	25.189	25.113	25.613	25.075	25.593	25.057	25.414	25.579	28.182	3.20865
3775647302.938	24.000	25.000	25.385	25.346	25.611	25.563	26.228	25.332	25.588	25.733	26.294	25.559	28.135	3.20861
3775647304.920	24.000	25.000	25.314	25.352	26.260	26.244	27.084	25.793	25.592	26.692	27.382	25.510	28.076	3.20852
3775647306.905	26.000	26.000	25.226	25.352	27.000	27.010	28.015	26.358	25.593	27.707	28.474	25.445	28.046	3.20840
3775647308.949	26.000	26.000	25.149	25.362	27.801	27.828	28.987	27.001	25.601	28.725	29.546	25.384	28.048	3.20826
3775647310.966	26.000	26.000	25.082	25.368	28.611	28.650	29.949	27.677	25.602	29.701	30.562	25.318	28.089	3.20810
3775647312.939	26.000	26.000	25.041	25.385	29.371	29.419	30.836	28.328	25.614	30.577	31.469	25.273	28.066	3.20792
3775647314.927	26.000	26.000	25.006	25.402	30.128	30.181	31.704	28.991	25.624	31.427	32.345	25.233	28.232	3.20773
3775647316.917	26.000	26.000	24.983	25.422	30.870	30.925	32.543	29.652	25.639	32.240	33.178	25.202	28.157	3.20754
3775647318.962	26.000	26.000	24.966	25.451	31.602	31.660	33.362	30.315	25.655	33.026	33.987	25.176	28.300	3.20733
3775647320.970	26.000	26.000	24.951	25.481	32.309	32.366	34.146	30.964	25.676	33.780	34.759	25.157	28.255	3.20712
3775647322.938	26.000	26.000	24.943	25.515	32.984	33.038	34.882	31.586	25.695	34.486	35.482	25.146	28.182	3.20691
3775647324.952	26.000	26.000	24.938	25.557	33.650	33.699	35.606	32.209	25.724	35.177	36.194	25.140	28.178	3.20668
3775647326.920	26.000	26.000	24.938	25.606	34.304	34.347	36.307	32.821	25.754	35.848	36.881	25.135	28.136	3.20647
3775647328.946	35.000	35.000	24.937	25.653	34.940	34.975	36.986	33.425	25.785	36.501	37.549	25.132	28.098	3.20625
3775647330.961	35.000	35.000	24.939	25.711	35.569	35.597	37.652	34.024	25.821	37.139	38.200	25.130	28.090	3.20603
3775647332.922	35.000	35.000	24.942	25.767	36.161	36.180	38.274	34.591	25.858	37.737	38.812	25.128	28.211	3.20581
3775647334.969	35.000	35.000	24.943	25.832	36.750	36.762	38.892	35.161	25.898	38.331	39.419	25.131	28.251	3.20560
3775647336.927	35.000	35.000	24.948	25.899	37.325	37.326	39.490	35.716	25.942	38.907	40.009	25.132	28.259	3.20538
3775647338.949	35.000	35.000	24.948	25.972	37.889	37.879	40.073	36.264	25.985	39.468	40.581	25.135	28.230	3.20517
3775647340.966	35.000	35.000	24.952	26.046	38.445	38.424	40.646	36.806	26.033	40.022	41.146	25.137	28.221	3.20494
3775647342.919	35.000	35.000	24.960	26.129	38.970	38.942	41.184	37.323	26.087	40.546	41.676	25.146	28.153	3.20474
3775647344.971	35.000	35.000	24.968	26.213	39.492	39.456	41.721	37.839	26.143	41.064	42.202	25.152	28.129	3.20454
3775647346.930	35.000	35.000	24.974	26.302	40.003	39.957	42.243	38.345	26.199	41.569	42.713	25.158	28.163	3.20434
3775647348.941	35.000	35.000	24.978	26.391	40.501	40.448	42.748	38.836	26.256	42.064	43.211	25.159	28.159	3.20413
3775647350.934	41.000	41.000	24.985	26.487	40.993	40.933	43.247	39.325	26.318	42.551	43.706	25.167	28.130	3.20393
3775647352.951	41.000	41.000	24.993	26.584	41.474	41.402	43.733	39.799	26.380	43.021	44.185	25.171	28.229	3.20374
3775647354.971	41.000	41.000	24.997	26.686	41.943	41.862	44.209	40.267	26.446	43.482	44.654	25.180	28.195	3.20355
3775647356.935	41.000	41.000	25.004	26.790	42.398	42.307	44.666	40.719	26.514	43.926	45.104	25.184	28.171	3.20335
3775647358.974	41.000	41.000	25.011	26.898	42.851	42.749	45.121	41.170	26.585	44.368	45.554	25.189	28.096	3.20317
3775647360.913	41.000	41.000	25.018	27.006	43.286	43.171	45.557	41.601	26.655	44.790	45.986	25.196	28.119	3.20299
3775647362.924	41.000	41.000	25.024	27.122	43.723	43.599	45.996	42.038	26.731	45.216	46.421	25.203	28.150	3.20281
3775647364.966	41.000	41.000	25.029	27.233	44.147	44.012	46.420	42.459	26.803	45.628	46.839	25.209	28.144	3.20264
3775647366.923	41.000	41.000	25.040	27.355	44.558	44.417	46.832	42.872	26.884	46.029	47.244	25.217	28.111	3.20246
3775647368.962	41.000	41.000	25.045	27.473	44.967	44.814	47.237	43.277	26.959	46.423	47.645	25.220	28.140	3.20230
3775647370.912	41.000	41.000	25.054	27.596	45.364	45.202	47.632	43.674	27.043	46.812	48.037	25.227	28.136	3.20212
3775647372.925	46.000	46.000	25.057	27.721	45.756	45.588	48.024	44.071	27.123	47.195	48.422	25.231	28.188	3.20196
3775647374.945	46.000	46.000	25.070	27.854	46.147	45.971	48.412	44.461	27.212	47.571	48.805	25.242	28.283	3.20180
3775647376.911	46.000	46.000	25.077	27.979	46.515	46.329	48.778	44.829	27.293	47.928	49.167	25.246	28.207	3.20165
3775647378.968	46.000	46.000	25.082	28.110	46.887	46.694	49.147	45.203	27.382	48.287	49.530	25.253	28.442	3.20150
3775647380.939	46.000	46.000	25.088	28.240	47.245	47.044	49.502	45.562	27.467	48.634	49.880	25.260	28.389	3.20135
3775647382.925	46.000	46.000	25.101	28.378	47.604	47.395	49.855	45.921	27.560	48.981	50.229	25.268	28.342	3.20120
3775647384.963	46.000	46.000	25.106	28.512	47.955	47.738	50.201	46.274	27.649	49.320	50.571	25.273	28.243	3.20106
